Filtered_Product,Filtered_Amount,Raw_Data,Sum
Kaesestangerl,1.0,"1d 1 Kaesestangerl
",
Kaesestangerln,5.0,"2b 5 Kaesestangerln 
",
Kaesestangerl,1.0,"1d 1 Kaesestangerl
",
Kaesestangerln,5.0,"2b 5 Kaesestangerln 
",
Kaesestangerln,6.0,"1b 6 Kaesestangerln 
",
Kaesestangerln,5.0,"2f 5 Kaesestangerln 
",
Kaesestangerl,1.0,"1d 1 Kaesestangerl
",
Kaesestangerln,5.0,"2b 5 Kaesestangerln 
",
Kaesestangerln,5.0,"1a 5 Kaesestangerln 
",
Kaesestangerl,1.0,"1d 1 Kaesestangerl
",
Kaesestangerl,1.0,"1d 1 Kaesestangerl
",
Kaesestangerln,5.0,"2b 5 Kaesestangerln 
",
Kaesestangerln,5.0,"1a 5 Kaesestangerln 
",
Kaesestangerl,1.0,"1d 1 Kaesestangerl
",
Kaesestangerln,6.0,"1b 6 Kaesestangerln
",
Kaesestangerln,6.0,"1c 6 Kaesestangerln 
",
Kaesestangerln,5.0,"2f  5 Kaesestangerln 
",
Kaesestangerln,5.0,"2b 5 Kaesestangerln 
",
Kaesestangerln,6.0,"3c 6 Kaesestangerln 
",
Kaesestangerln,6.0,"2e 6 Kaesestangerln 
",
Kaesestangerln,2.0,"     2 Kaesestangerln 
",
Kaesestangerln,5.0,"1a 5 Kaesestangerln 
",
Kaesestangerln,6.0,"1b 6 Kaesestangerln 
",
Kaesestangerln,5.0,"2b 5 Kaesestangerln 
",
Kaesestangerln,6.0,"3c 6 Kaesestangerln 
",
Kaesestangerln,6.0,"1c 6 Kaesestangerln 
",
Kaesestangerln,5.0,"2b 5 Kaesestangerln 
",
Kaesestangerln,6.0,"2e 6 Kaesestangerln 
",
Kaesestangerln,6.0,"1c 6 Kaesestangerln 
",
Kaesestangerln,6.0,"2b 6 Kaesestangerln 
",
Kaesestangerln,6.0,"1c 6 Kaesestangerln 
",
Kaesestangerln,6.0,"2b 6 Kaesestangerln 
",
Kaesestangerln,5.0,"1a 5 Kaesestangerln 
",
Kaesestangerln,6.0,"1c 6 Kaesestangerln 
",
Kaesestangerln,6.0,"3c 6 Kaesestangerln 
",
Kaesestangerln,5.0,4b 5 Kaesestangerln ,
,,,168.0
